Hours_Studied,Attendance,Sleep_Hours,Previous_Scores,Tutoring_Sessions,Physical_Activity,Exam_Score,Access_to_Resources_Encoded,Parental_Involvement_Encoded,Motivation_Level_Encoded,Family_Income_Encoded,Teacher_Quality_Encoded,Peer_Influence_Encoded,Parental_Education_Level_Encoded,Distance_from_Home_Encoded,Extracurricular_Activities_Encoded,Internet_Access_Encoded,Learning_Disabilities_Encoded,School_Type_Encoded,Gender_Encoded
23.0,84,7,73,0.0,3,67.0,3,1,1,1,2,3,1,1,0,1,0,0,0
19.0,64,8,59,2.0,4,61.0,2,1,1,2,2,1,2,2,0,1,0,0,1
24.0,98,7,91,2.0,4,74.0,2,2,2,2,2,2,3,1,1,1,0,0,0
29.0,89,8,98,1.0,4,71.0,2,1,2,2,2,1,1,2,1,1,0,0,0
19.0,92,6,65,3.0,4,70.0,2,2,2,2,3,2,2,1,1,1,0,0,1
19.0,88,8,89,3.0,3,71.0,2,2,2,2,2,3,3,1,1,1,0,0,0
29.0,84,7,68,1.0,2,67.0,1,2,1,1,2,2,1,2,1,1,0,1,0
25.0,78,6,50,1.0,2,66.0,3,1,2,3,3,1,1,3,1,1,0,0,0
17.0,94,6,80,0.0,1,69.0,3,2,3,2,1,2,2,1,0,1,0,1,0
23.0,98,8,71,0.0,5,72.0,2,2,2,3,3,3,1,2,1,1,0,0,0
17.0,80,8,88,1.2926987210620042,4,68.0,3,1,2,2,3,2,2,2,0,0,0,1,0
17.0,97,6,87,2.0,2,71.0,3,2,1,1,3,2,1,1,1,1,0,1,0
21.0,83,8,97,2.0,4,70.0,2,2,1,2,2,3,1,1,1,1,0,0,0
9.0,82,8,72,2.0,3,66.0,2,2,2,2,2,3,3,1,1,1,0,1,0
10.0,78,8,74,1.0,4,65.0,3,2,2,1,2,2,3,1,1,1,0,1,0
17.0,68,8,70,2.0,4,64.0,2,2,2,2,2,3,1,1,0,1,0,1,1
14.0,60,10,65,0.0,3,60.0,1,2,1,3,2,3,2,1,1,1,0,1,0
22.0,70,6,82,1.0,3,65.0,2,1,2,1,3,2,1,1,1,1,0,0,1
15.0,80,9,91,3.0,2,67.0,2,2,1,1,2,3,2,2,1,1,0,0,1
12.0,75,7,58,3.0,4,66.0,3,2,2,2,2,3,2,1,1,1,0,1,0
29.0,78,5,99,0.0,1,69.0,2,2,3,3,2,1,1,2,0,1,0,0,1
19.0,99,6,84,1.0,3,72.0,3,2,2,2,3,2,1,1,0,1,0,0,0
20.0,74,8,89,1.0,2,66.0,3,2,1,2,2,1,2,2,0,1,0,0,1
11.0,78,8,100,1.0,3,66.0,2,3,3,1,2,2,1,2,1,1,0,0,0
17.0,65,5,75,2.0,3,63.0,3,1,2,1,2,3,1,1,1,1,0,0,1
21.0,62,6,54,0.0,3,64.0,1,3,3,3,3,3,3,3,1,1,0,0,0
13.0,91,6,90,1.0,2,65.0,2,1,2,3,2,1,1,2,0,1,1,0,1
22.0,83,6,94,0.0,2,71.0,3,3,2,3,2,2,2,2,1,1,0,0,0
16.0,90,4,58,1.0,3,66.0,2,2,2,1,2,2,1,2,0,1,0,0,1
18.0,66,4,51,2.0,2,64.0,3,3,1,1,2,2,2,1,0,1,0,1,0
16.0,83,6,57,0.0,4,63.0,2,1,2,3,1,3,1,1,0,1,1,0,1
31.0,70,7,66,1.0,3,69.0,3,2,2,3,2,1,2,1,1,1,0,0,0
20.0,69,8,96,2.0,3,67.0,2,2,2,2,3,3,1,1,1,1,0,0,0
14.0,60,5,50,2.0,3,61.0,2,3,2,2,2,2,2,1,0,1,0,0,1
25.0,65,5,90,2.0,3,68.0,2,3,2,2,2,3,2,2,0,1,0,0,1
13.0,72,6,93,1.0,3,61.0,2,1,1,1,2,1,1,1,0,1,0,0,0
21.0,65,7,91,2.0,3,64.0,1,2,1,2,3,3,1,3,1,1,0,0,1
8.0,99,9,54,2.0,5,67.0,2,2,1,1,2,2,3,1,0,1,0,0,1
12.0,72,8,84,1.0,5,63.0,2,1,2,1,2,3,1,1,1,1,0,0,1
21.0,65,6,98,1.0,4,64.0,2,1,1,2,3,1,1,1,1,1,0,0,0
24.0,68,8,56,3.0,1,67.0,2,3,1,3,3,2,2,1,0,1,0,0,0
21.0,84,6,52,1.0,2,65.0,2,2,1,2,3,2,2,3,1,1,1,0,1
19.0,63,7,94,1.0,3,64.0,3,1,2,2,2,3,1,2,0,1,0,1,0
18.0,94,7,82,3.0,2,70.0,3,2,2,2,2,1,2,1,1,1,1,1,0
11.0,98,9,82,1.0,3,68.0,2,2,1,2,2,3,3,3,1,1,0,1,0
16.0,70,8,98,2.0,3,65.0,2,2,2,2,2,3,1,2,1,1,0,0,0
17.0,78,6,88,1.0,3,68.0,2,2,2,2,3,3,2,1,1,1,0,1,1
26.0,61,6,70,2.0,3,64.0,1,2,2,1,2,3,1,2,1,1,0,0,1
22.0,86,7,72,3.0,2,68.0,2,1,1,1,3,3,1,2,1,1,0,0,0
9.0,77,5,57,2.0,3,63.0,2,2,2,2,3,2,1,1,0,1,0,0,0
22.0,71,7,65,1.0,4,64.0,2,1,1,2,1,3,2,2,1,1,0,0,0
18.0,68,7,72,0.0,3,64.0,2,3,2,2,2,2,2,1,0,1,0,0,0
16.0,86,8,63,2.0,4,67.0,2,1,2,2,2,3,1,1,1,1,0,0,0
24.0,77,8,96,0.0,3,67.0,1,3,2,2,2,2,1,1,0,1,0,0,1
26.0,67,7,51,2.0,4,66.0,3,2,1,3,3,2,3,3,1,1,1,1,1
26.0,88,5,79,1.0,4,72.0,3,2,2,1,3,3,2,2,1,1,0,1,0
15.0,83,5,89,1.0,2,65.0,3,2,1,2,3,2,1,1,0,0,1,0,1
18.0,94,6,87,1.0,4,71.0,2,2,3,2,2,3,1,1,1,1,0,0,0
22.0,65,8,82,2.0,1,66.0,1,3,2,2,3,3,3,1,0,1,0,0,1
26.0,91,8,71,0.0,3,68.0,1,2,2,1,2,2,1,2,1,1,0,1,0
17.0,87,7,96,1.0,5,70.0,2,2,2,3,2,1,3,1,0,1,0,0,1
19.0,65,10,66,0.0,3,62.0,2,2,1,1,2,3,1,2,1,1,0,0,0
13.0,88,9,88,2.0,4,68.0,3,1,3,1,3,1,3,3,1,1,0,1,0
13.0,78,9,96,2.0,3,67.0,3,2,3,1,2,2,2,2,1,1,0,0,0
25.0,98,8,56,0.0,3,71.0,3,1,2,2,3,2,3,1,1,0,0,1,0
28.0,66,8,97,0.0,2,68.0,3,2,2,2,2,2,1,1,1,1,0,0,0
20.0,86,8,89,1.0,3,69.0,2,2,2,1,2,1,3,1,1,1,0,0,0
26.0,75,4,81,3.0,2,70.0,3,1,3,2,3,3,1,2,1,1,0,1,0
22.0,98,5,69,1.0,4,69.0,3,2,1,1,3,1,1,2,0,0,0,0,1
16.0,73,7,95,1.0,4,65.0,2,2,2,1,2,1,2,1,0,1,0,0,0
22.0,98,7,52,3.0,3,70.0,1,2,2,2,2,3,2,1,1,0,0,0,1
29.0,96,7,72,1.0,3,71.0,1,2,2,1,2,3,1,2,1,1,0,0,0
20.0,71,7,88,1.0,4,65.0,2,2,2,1,1,2,2,1,1,1,0,0,1
29.0,92,4,91,2.0,1,72.0,2,1,2,2,2,1,3,1,0,1,0,0,1
4.0,100,8,60,0.0,4,69.0,3,3,3,2,3,3,2,2,1,1,0,1,0
25.0,70,7,52,1.0,3,66.0,2,2,2,2,2,3,3,1,0,1,0,0,1
21.0,77,7,90,1.2926987210620042,3,68.0,2,1,2,2,2,2,3,2,1,1,0,1,0
18.0,81,8,71,0.0,3,65.0,1,3,2,2,2,2,1,2,1,1,0,0,1
21.0,72,5,57,1.0,5,64.0,2,2,2,3,2,2,2,2,1,1,1,0,0
8.0,61,7,54,1.0,3,60.0,2,2,2,3,2,3,2,1,1,1,0,0,0
19.0,69,7,82,1.0,2,65.0,3,2,3,1,2,1,1,1,1,1,0,0,0
22.0,71,6,79,1.0,3,66.0,2,3,3,1,1,3,1,1,0,1,0,0,0
29.0,78,4,93,1.2926987210620042,3,74.0,3,3,1,2,3,2,2,1,1,1,0,0,0
17.0,67,5,52,2.0,3,62.0,2,2,3,2,2,1,1,3,1,1,0,1,1
15.0,95,7,93,2.0,4,70.0,2,2,2,1,2,3,2,2,0,1,0,0,0
17.0,88,7,94,0.0,3,69.0,3,2,1,2,2,2,1,1,1,1,0,0,0
25.0,63,7,72,3.0,4,67.0,3,2,2,2,3,1,2,3,1,1,0,1,0
22.0,86,6,54,2.0,0,64.0,1,1,2,2,2,2,1,2,0,1,0,0,0
17.0,86,5,97,3.0,3,71.0,3,2,3,3,2,2,2,1,0,1,0,0,0
23.0,98,7,54,0.0,3,68.0,1,2,1,2,2,1,2,1,1,1,0,0,1
21.0,60,7,80,0.0,4,64.0,2,3,2,2,3,2,2,1,0,1,1,0,0
26.0,70,8,75,1.0,4,63.0,1,2,2,2,1,2,1,3,1,1,1,1,1
16.0,97,6,92,0.0,4,71.0,2,2,1,3,2,3,2,1,1,1,0,1,0
18.0,97,4,75,0.0,3,69.0,2,3,1,1,2,3,1,2,1,1,0,0,0
18.0,89,4,73,3.0,2,67.07012148239274,2,3,2,3,2,3,2,1,1,1,0,1,1
11.0,91,6,94,3.0,3,68.0,2,2,2,2,2,2,2,2,0,1,0,0,0
22.0,64,7,98,1.0,3,62.0,2,1,1,2,2,1,1,1,0,0,0,0,0
22.0,81,7,77,2.0,3,68.0,2,2,1,2,2,3,3,3,1,1,0,0,1
20.0,69,6,73,2.0,3,66.0,3,3,2,1,2,3,1,3,1,1,0,1,0
19.0,67,5,92,0.0,3,64.0,2,1,3,2,2,3,2,1,0,1,0,0,0
12.0,92,4,92,2.0,3,67.0,2,2,3,2,3,2,1,2,0,1,1,0,0
17.0,65,8,66,1.0,4,65.0,3,2,2,3,3,2,3,2,1,1,1,0,1
18.0,79,7,79,0.0,3,65.0,2,2,2,1,3,2,2,3,1,1,0,1,0
15.0,98,6,58,0.0,3,69.0,2,3,3,1,3,3,2,1,0,1,0,0,0
19.0,67,5,82,1.0,3,63.0,2,2,3,1,1,1,1,1,0,1,0,1,0
22.0,99,6,92,3.0,4,72.0,1,2,1,2,2,1,3,2,1,1,0,0,0
31.0,100,7,59,2.0,5,67.07012148239274,2,2,2,3,3,3,3,2,0,1,0,0,0
21.0,82,7,66,3.0,3,69.0,3,2,3,1,2,3,2,1,1,1,1,0,1
22.0,67,7,72,3.0,2,67.0,2,2,3,1,3,3,3,2,1,1,0,0,1
20.0,73,9,92,2.0,3,69.0,2,3,2,2,3,3,2,1,1,1,0,0,0
8.0,77,6,87,0.0,2,63.0,2,3,2,1,2,2,1,2,1,1,0,0,0
20.0,72,9,66,3.0,3,67.0,2,2,2,1,3,3,3,1,0,1,0,1,0
20.0,71,7,62,2.0,5,66.0,3,1,3,2,2,1,2,1,1,1,0,0,0
35.0,99,7,85,2.0,2,67.07012148239274,3,3,1,2,3,2,3,1,1,1,0,1,1
19.0,66,8,74,1.0,3,64.0,2,2,2,3,2,2,1,1,0,1,0,0,1
22.0,89,6,80,1.0,3,73.0,3,3,2,3,3,3,1,1,1,1,0,0,1
20.0,60,7,82,2.0,4,63.0,3,1,3,1,3,3,1,1,0,1,1,0,0
13.0,84,5,78,1.0,2,65.0,2,2,2,1,3,3,1,1,0,1,0,0,0
27.0,97,8,81,0.0,5,73.0,3,1,2,3,2,3,1,1,1,1,0,0,1
25.0,72,8,94,2.0,4,70.0,3,3,1,1,2,3,2,2,1,1,0,1,1
25.0,67,9,93,2.0,3,68.0,2,3,3,1,3,3,1,1,0,1,1,0,1
15.0,86,7,57,1.0,3,65.0,2,2,2,2,2,1,2,1,1,1,0,0,0
28.0,89,9,79,0.0,1,71.0,3,1,3,1,2,3,2,2,1,1,0,1,1
12.0,88,6,72,2.0,2,64.0,2,1,1,2,2,3,2,3,0,1,0,0,0
24.0,73,8,64,1.2926987210620042,3,68.0,3,2,2,3,2,2,2,2,1,1,1,1,0
33.0,70,6,82,1.0,4,69.0,2,2,1,1,3,2,2,1,1,1,0,0,0
14.0,98,7,76,0.0,4,69.0,2,2,2,2,3,3,2,2,0,1,0,1,1
17.0,97,8,89,1.0,4,69.0,2,2,2,1,2,2,1,3,0,1,0,0,0
21.0,78,10,55,1.0,2,67.0,2,2,2,3,1,3,2,1,1,1,0,1,0
17.0,94,8,65,1.2926987210620042,6,68.0,2,1,1,2,2,2,1,3,1,1,0,0,1
11.0,78,8,51,2.0,3,64.0,3,2,2,1,2,2,3,1,1,1,0,0,0
20.0,77,6,87,0.0,4,66.0,2,2,1,1,3,3,1,1,0,1,0,0,1
14.0,66,7,96,3.0,3,63.0,1,3,2,1,3,1,1,1,0,1,0,0,0
23.0,77,7,79,0.0,2,66.0,2,2,2,1,3,2,1,2,1,1,0,0,0
14.0,81,9,81,1.0,3,66.0,2,2,2,1,3,1,3,1,0,1,0,1,1
29.0,61,7,52,3.0,3,67.0,3,2,1,1,2,3,2,1,1,1,0,1,1
